claim_note,controller,figure_id,n_seeds,network,route_decision,scenario_tag,series,source_artifact,source_key,x_value,y_value
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,dual_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].dual_mean_oracle_regret,corridor_bottleneck_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,pressure_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].pressure_mean_oracle_regret,corridor_bottleneck_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F2_static_disagreement,,,pressure-equivalent,,dual_vs_pressure_disagreement_rate,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].dual_vs_pressure_disagreement_rate,corridor_bottleneck_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,dual_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].dual_mean_oracle_regret,demand_shift_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,pressure_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].pressure_mean_oracle_regret,demand_shift_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F2_static_disagreement,,,pressure-equivalent,,dual_vs_pressure_disagreement_rate,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].dual_vs_pressure_disagreement_rate,demand_shift_proxy,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,dual_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].dual_mean_oracle_regret,incident_capacity_drop,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,pressure_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].pressure_mean_oracle_regret,incident_capacity_drop,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F2_static_disagreement,,,pressure-equivalent,,dual_vs_pressure_disagreement_rate,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].dual_vs_pressure_disagreement_rate,incident_capacity_drop,0
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,dual_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].dual_mean_oracle_regret,slack,7.105427358e-13
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F1_static_dual_vs_pressure,,,pressure-equivalent,,pressure_mean_oracle_regret,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].pressure_mean_oracle_regret,slack,7.105427358e-13
pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,F2_static_disagreement,,,pressure-equivalent,,dual_vs_pressure_disagreement_rate,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].dual_vs_pressure_disagreement_rate,slack,0
