action_agreement,ci95_high,ci95_low,claim_note,controller,max_regret,metric,n_seeds,network,panel,program_complexity,realized_total_regret,route_confidence,route_decision,scenario_tag,selected_atoms,source_artifact,source_key,source_rules_path,table_id,value
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_rank_matches_finite_difference_rank,,,criteria,,,,pressure-equivalent,,,experiments/dual_sensitivity/block0_dual_sanity.json,criteria.dual_rank_matches_finite_difference_rank,,T0_dual_sanity,True
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_rank_matches_dual_rank_when_storage_nonbinding,,,criteria,,,,pressure-equivalent,,,experiments/dual_sensitivity/block0_dual_sanity.json,criteria.pressure_rank_matches_dual_rank_when_storage_nonbinding,,T0_dual_sanity,True
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_rank,,,toy_nonbinding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block0_dual_sanity.json,results[0].dual_rank,,T0_dual_sanity,"[0, 1]"
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_rank,,,toy_nonbinding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block0_dual_sanity.json,results[0].pressure_rank,,T0_dual_sanity,"[0, 1]"
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_rank,,,toy_storage_binding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block0_dual_sanity.json,results[1].dual_rank,,T0_dual_sanity,"[1, 0]"
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_rank,,,toy_storage_binding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block0_dual_sanity.json,results[1].pressure_rank,,T0_dual_sanity,"[1, 0]"
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_rank,,,single_intersection_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block0_dual_sanity.json,results[2].dual_rank,,T0_dual_sanity,"[0, 1, 2, 3]"
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_rank,,,single_intersection_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block0_dual_sanity.json,results[2].pressure_rank,,T0_dual_sanity,"[0, 1, 2, 3]"
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_rank,,,arterial_bottleneck_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block0_dual_sanity.json,results[3].dual_rank,,T0_dual_sanity,"[1, 0, 2, 5, 4, 3]"
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_rank,,,arterial_bottleneck_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block0_dual_sanity.json,results[3].pressure_rank,,T0_dual_sanity,"[1, 0, 2, 5, 4, 3]"
0.75,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,101.4816,best_run,,,local_only,1,405.3824,,pressure-equivalent,,"[""upstream_queue""]",experiments/dual_sensitivity/block2_sparse_recovery.json,best_by_library[0],experiments/dual_sensitivity/block2_sparse_recovery_rules.txt,T1_sparse_recovery,25.3364
0.75,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,101.4816,best_run,,,raw_neighbor,1,405.3824,,pressure-equivalent,,"[""upstream_queue""]",experiments/dual_sensitivity/block2_sparse_recovery.json,best_by_library[1],experiments/dual_sensitivity/block2_sparse_recovery_rules.txt,T1_sparse_recovery,25.3364
0.75,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,101.4816,best_run,,,all_neighbor,1,405.3824,,pressure-equivalent,,"[""upstream_queue""]",experiments/dual_sensitivity/block2_sparse_recovery.json,best_by_library[2],experiments/dual_sensitivity/block2_sparse_recovery_rules.txt,T1_sparse_recovery,25.3364
0.125,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,143.0848,best_run,,,random_price,1,761.3792,,pressure-equivalent,,"[""random_price""]",experiments/dual_sensitivity/block2_sparse_recovery.json,best_by_library[3],experiments/dual_sensitivity/block2_sparse_recovery_rules.txt,T1_sparse_recovery,47.5862
1,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,0,best_run,,,dual_sensitivity,1,0,,pressure-equivalent,,"[""dual_sensitivity""]",experiments/dual_sensitivity/block2_sparse_recovery.json,best_by_library[4],experiments/dual_sensitivity/block2_sparse_recovery_rules.txt,T1_sparse_recovery,0
0.75,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,101.4816,best_run,,,dual_plus_raw,1,405.3824,,pressure-equivalent,,"[""upstream_queue""]",experiments/dual_sensitivity/block2_sparse_recovery.json,best_by_library[5],experiments/dual_sensitivity/block2_sparse_recovery_rules.txt,T1_sparse_recovery,25.3364
1,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,0,best_run,,,pressure_backpressure,1,0,,pressure-equivalent,,"[""pressure_backpressure""]",experiments/dual_sensitivity/block2_sparse_recovery.json,best_by_library[6],experiments/dual_sensitivity/block2_sparse_recovery_rules.txt,T1_sparse_recovery,0
0.75,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,101.4816,best_run,,,full_symbolic,1,405.3824,,pressure-equivalent,,"[""upstream_queue""]",experiments/dual_sensitivity/block2_sparse_recovery.json,best_by_library[7],experiments/dual_sensitivity/block2_sparse_recovery_rules.txt,T1_sparse_recovery,25.3364
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,route_decision,,,route,,,MEDIUM,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,route_decision,,T2_static_kill_gate,pressure-equivalent
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_vs_pressure_disagreement_rate,,,corridor_bottleneck_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].dual_vs_pressure_disagreement_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_win_rate,,,corridor_bottleneck_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].dual_win_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_win_rate,,,corridor_bottleneck_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].pressure_win_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_mean_oracle_regret,,,corridor_bottleneck_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].dual_mean_oracle_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_mean_oracle_regret,,,corridor_bottleneck_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].pressure_mean_oracle_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,mean_oracle_regret_delta_pressure_minus_dual,,,corridor_bottleneck_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].mean_oracle_regret_delta_pressure_minus_dual,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_worst_case_regret,,,corridor_bottleneck_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].dual_worst_case_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_worst_case_regret,,,corridor_bottleneck_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[0].pressure_worst_case_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_vs_pressure_disagreement_rate,,,demand_shift_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].dual_vs_pressure_disagreement_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_win_rate,,,demand_shift_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].dual_win_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_win_rate,,,demand_shift_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].pressure_win_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_mean_oracle_regret,,,demand_shift_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].dual_mean_oracle_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_mean_oracle_regret,,,demand_shift_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].pressure_mean_oracle_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,mean_oracle_regret_delta_pressure_minus_dual,,,demand_shift_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].mean_oracle_regret_delta_pressure_minus_dual,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_worst_case_regret,,,demand_shift_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].dual_worst_case_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_worst_case_regret,,,demand_shift_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[1].pressure_worst_case_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_vs_pressure_disagreement_rate,,,incident_capacity_drop,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].dual_vs_pressure_disagreement_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_win_rate,,,incident_capacity_drop,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].dual_win_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_win_rate,,,incident_capacity_drop,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].pressure_win_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_mean_oracle_regret,,,incident_capacity_drop,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].dual_mean_oracle_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_mean_oracle_regret,,,incident_capacity_drop,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].pressure_mean_oracle_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,mean_oracle_regret_delta_pressure_minus_dual,,,incident_capacity_drop,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].mean_oracle_regret_delta_pressure_minus_dual,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_worst_case_regret,,,incident_capacity_drop,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].dual_worst_case_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_worst_case_regret,,,incident_capacity_drop,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[2].pressure_worst_case_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_vs_pressure_disagreement_rate,,,slack,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].dual_vs_pressure_disagreement_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_win_rate,,,slack,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].dual_win_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_win_rate,,,slack,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].pressure_win_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_mean_oracle_regret,,,slack,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].dual_mean_oracle_regret,,T2_static_kill_gate,7.105427358e-13
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_mean_oracle_regret,,,slack,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].pressure_mean_oracle_regret,,T2_static_kill_gate,7.105427358e-13
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,mean_oracle_regret_delta_pressure_minus_dual,,,slack,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].mean_oracle_regret_delta_pressure_minus_dual,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_worst_case_regret,,,slack,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].dual_worst_case_regret,,T2_static_kill_gate,2.842170943e-11
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_worst_case_regret,,,slack,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[3].pressure_worst_case_regret,,T2_static_kill_gate,2.842170943e-11
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_vs_pressure_disagreement_rate,,,storage_binding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[4].dual_vs_pressure_disagreement_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_win_rate,,,storage_binding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[4].dual_win_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_win_rate,,,storage_binding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[4].pressure_win_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_mean_oracle_regret,,,storage_binding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[4].dual_mean_oracle_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_mean_oracle_regret,,,storage_binding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[4].pressure_mean_oracle_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,mean_oracle_regret_delta_pressure_minus_dual,,,storage_binding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[4].mean_oracle_regret_delta_pressure_minus_dual,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_worst_case_regret,,,storage_binding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[4].dual_worst_case_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_worst_case_regret,,,storage_binding,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[4].pressure_worst_case_regret,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_vs_pressure_disagreement_rate,,,supply_binding_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[5].dual_vs_pressure_disagreement_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,dual_win_rate,,,supply_binding_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[5].dual_win_rate,,T2_static_kill_gate,0
,,,pressure-equivalent generalized-pressure symbolic recovery; simulator/network/horizon/seed-relative evidence.,,,pressure_win_rate,,,supply_binding_proxy,,,,pressure-equivalent,,,experiments/dual_sensitivity/block3_static_kill_gate.json,regime_metrics[5].pressure_win_rate,,T2_static_kill_gate,0
